id	style	word	morphology	etymology
PWN:bohrium.n.01		borium	bor·ium	eng:bohrium, fra:bohrium, spa:bohrio, por:bóhrio, rus:борий, zho: (bō), jpn:ボーリウム, kor:보륨, vie:bohri, hin:बोरियम, ben:বোহরিয়াম, may:bohrium, swa:bohri, ara: بوريوم
PWN:bolshevik.n.02		bolshiviste	bolsh.iv·ist'e	
PWN:bolshevism.n.01		bolshivisme	bolsh.iv·ism'e	
PWN:bomb.n.01		bombe	bomb’e	pol:por:spa:tur:bomba, rus:бомба (bomba), deu:fra:bombe, fas:(bomb), eng:bomb, ben:বোমা (boma), hin:बम (bam), jpn:ボム (bomu), kor:봄 (bom), vie:may:hau:bom, swa:bomu
PWN:bone.n.01		oste	ost'e	eng:deu:osteo-, rus:остео- (osteo-), ita:por:osso, fra:os, fas: استخوان (ostoxân), hin:अस्थि (asthi-)
PWN:book.n.01		buke	buk’e	eng:book, fra:bouquin, hin:बुक (buk), deu:Buch, may:buku, ful:swa:buku, wol:bukoo + rus:буклет (buklet)
PWN:boomerang.n.01		bumerang	bumerang	eng:fra:boomerang, deu:Bumerang, spa:bumerán, por:bumerangue, rus:бумеранг (bumerang), hin:बुमेरांग (bumerāṅg), ben:বুমেরাং (bumeraṅ), may:tur:bumerang, jpn:ブーメラン (būmeran), kor:부메랑 (bumerang), vie:bumơrang, ara: بُومَرَانْغ (būmarānḡ)
PWN:boron.n.01		boron	boron	eng:boron, fra:boron, spa:boro, por:boro, rus:бор, vie:bo, hin:बोरॉन्, ben:বোরন, may:boron, swa:boroni, ara: بورون
PWN:bow.n.04		gung	gung	zho:弓 (gōng), yue:弓 (gung1), jpn:弓 (kyū), kor:궁 (gung), vie:cung
PWN:bow.v.01		namasu	namas’u	san:नमस् (namas), hin:नमस्कार (namaskār), ben:নমস্কার (nomoskar), zho:南无 (nāmó), yue:南無 (naa1mou4), jpn:南無 (namu), fas:نماز (namâz), tur:namaz
PWN:bowl.n.01		tase	tas’e	ara: طَاس (ṭās), hau:tasa, swa:tasa, ful:taasa, tur:tas, deu:Tasse, fra:tasse, spa:taza, rus:таз (taz), hin:तश्तरी (tashtarī)
PWN:box.n.01		kase	kas’e	lat:capsa, deu:Kasse, eng:case, fra:caise, spa:caja, por:caixa, rus:касса (kassa), swa:kasha, ful:keesu + ara:(qafaṣ), hin:क़फ़स (qafas), tur:kafes + zho:卡式 (kǎshì), yue:卡式 (kaa1sik1), jpn:カセット (kasetto), kor:카세트 (kaseteu), hau:kaset
PWN:box.n.01		sinduke	sin.duk’e	
PWN:boxing.n.01		kuensute	kuen·sut’e	
PWN:break_up.v.16		fragu	frag’u	
PWN:bromine.n.01		brom	brom	eng:bromine, fra:brome, spa:bromo, por:bromo, rus:бром, kor:브롬, vie:brom, hin:ब्रोमिन, ben:ব্রোমিন, may:brom, swa:bromi, ara: بروم
