CONCEPTICON_ID	CONCEPTICON_GLOSS	NUMBER	IDS_ID	ENGLISH	RELATION	PWN_WORD_SENSE_ID	PWN_DEFINITION	PWN_SYNSET	PWN_POS
1942	NEAR	192	S12.430	near	ss	near%4:02:01::	"near in time or place or relationship; ""as the wedding day drew near""; ""stood near the door""; ""don't shoot until they come near""; ""getting near to the true explanation""; ""her mother is always near""; ""The end draws nigh""; ""the bullet didn't come close""; ""don't get too close to the fire"""	r00409709	r
1474	SEA	193	S01.320	the sea	ss	sea%1:17:00::	a division of an ocean or a large body of salt water partially enclosed by land	n09426788	n
493	FIVE	194	S13.0500	five	ss	five%5:00:00:cardinal:00	being one more than four	a02186750	a
602	HIDE (CONCEAL)	195	S12.270	to hide	ss	hide%2:39:00::	"prevent from being seen or discovered; ""Muslim women hide their faces""; ""hide the money"""	v02144835	v
2259	FLESH	196	S04.130	the flesh	ss	flesh%1:08:02::	the soft tissue of the body of a vertebrate: mainly muscle tissue and fat	n05268112	n
1828	ASK (REQUEST)	197	S18.350	to ask(2)	ss	ask%2:32:01::	"make a request or demand for something to somebody; ""She asked him for a loan"""	v00752493	v
1768	FOAM	198	S01.324	the foam	ss	foam%1:17:00::	"a mass of small bubbles formed in or on a liquid; ""the beer had a thick head of foam"""	n09282724	n
1356	NUMBER	199	S23.3900	the number	ss	number%1:23:00::	"a concept of quantity involving zero and units; ""every number has a unique position in the sequence"""	n13582013	n
779	PART	200	S13.230	the part	ss	part%1:06:00::	"something less than the whole of a human artifact; ""the rear part of the house""; ""glue the two parts together"""	n03892891	n
657	PRICE	201	S11.870	the price	ss	price%1:21:00::	"the amount of money needed to purchase something; ""the price of gasoline""; ""he got his new car on excellent terms""; ""how much is the damage?"""	n13303315	n
1012	LATCH	202	S07.231	the latch or door-bolt	ui	bolt%1:06:01::	the part of a lock that is engaged or withdrawn with a key	n02865931	n
596	POSTAGE STAMP	203	S23.4100	the postage stamp	ss	postage_stamp%1:10:00::	a small adhesive token stuck on a letter or package to indicate that that postal fees have been paid	n06796119	n
878	HELL	204	S22.320	the hell	ss	hell%1:09:00::	"(Christianity) the abode of Satan and the forces of evil; where sinners suffer eternal punishment; ""Hurl'd headlong...To bottomless perdition,"	n05629682	
1774	STINGY	205	S11.540	stingy	ss	stingy%3:00:00::	"unwilling to spend; ""she practices economy without being stingy""; ""an ungenerous response to the appeal for funds"""	a01112573	a
852	PRIEST	206	S22.180	the priest	ui	priest%1:18:01::	a person who performs religious duties and ceremonies in a non-Christian religion	n10471250	n
1385	PEPPER	207	S05.820	the pepper	ss	pepper%1:13:01::	pungent seasoning from the berry of the common pepper plant of East India; use whole or ground	n07815588	n
1645	SHORT	208	S12.590	short	ss	short%3:00:01::	"(primarily spatial sense) having little length or lacking in length; ""short skirts""; ""short hair""; ""the board was a foot short""; ""a short toss"""	a01436003	a
392	MAGIC	209	S22.420	the magic	ss	magic%1:09:00::	any art that invokes supernatural powers	n05967977	n
1518	STUPID	210	S17.220	stupid	ss	stupid%3:00:00::	lacking or marked by lack of intellectual acuity	a00439588	a
1245	BUTTER	211	S05.890	the butter	ss	butter%1:13:00::	an edible emulsion of fat globules made by churning milk or cream; for cooking and table use	n07848338	n
1198	MANY	212	S13.150	many	ss	many%3:00:00::	"a quantifier that can be used with count nouns and is often preceded by `as' or `too' or `so' or `that'; amounting to a large but indefinite number; ""many temptations""; ""the temptations are many""; ""a good many""; ""a great many""; ""many directions""; ""take as many apples as you like""; ""too many clouds to see""; ""never saw so many people"""	a01551633	a
269	COOKED	213	S05.121	cooked	ss	cooked%3:00:00::	having been prepared for eating by the application of heat	a00615757	a
1904	DROWN	214	S04.751	to drown	ss	drown%2:30:00::	"die from being submerged in water, getting water into the lungs, and asphyxiating; ""The child drowned in the lake"""	v00360501	v
1964	ALONE	215	S13.3310	alone	ss	alone%4:02:01::	"without anybody else or anything else; ""the child stayed home alone""; ""the pillar stood alone, supporting nothing""; ""he flew solo"""	r00157967	r
816	HALF	216	S13.240	the half	ss	half%1:23:00::	"one of two equal parts of a divisible whole; ""half a loaf""; ""half an hour""; ""a century and one half"""	n13736799	n
1806	BEGIN	217	S14.250	to begin	ss	begin%2:30:01::	"set in motion, cause to start; ""The U.S. started a war in the Middle East""; ""The Iraqis began hostilities""; ""begin a new chapter in your life"""	v00348746	v
172	SHOULDERBLADE	218	S04.301	the shoulderblade	ss	shoulder_blade%1:08:00::	either of two flat triangular bones one on each side of the shoulder in human beings	n05279688	n
1144	WITNESS	219	S21.230	the witness	ss	witness%1:18:00::	someone who sees an event and reports what happened	n10786033	n
1272	AUNT	220	S02.520	the aunt	ss	aunt%1:18:00::	the sister of your father or mother; the wife of your uncle	n09823502	n
1219	WORM	221	S03.840	the worm	ss	worm%1:05:00::	any of numerous relatively small elongated soft-bodied animals especially of the phyla Annelida and Chaetognatha and Nematoda and Nemertea and Platyhelminthes; also many insect larvae	n01922303	n
1350	MONKEY	222	S03.760	the monkey	ss	monkey%1:05:00::	any of various long-tailed primates (excluding the prosimians)	n02484322	n
1608	LISTEN	223	S15.420	to listen	ss	listen%2:39:00::	"hear with intention; ""Listen to the sound of this cello"""	v02169891	v
