id	Definition
PWN:soil.n.02	the part of the earth's surface consisting of humus and disintegrated rock
PWN:soldier.n.01	A person who is actively engaged in battle, conflict or warfare.
PWN:soldier.n.01	an enlisted man or woman who serves in an army
PWN:solid.n.01	matter that is solid at room temperature and pressure
PWN:solid.s.01	characterized by good substantial quality
PWN:solid.s.05	uninterrupted in space; having no gaps or breaks and not hollow inside
PWN:solution.n.01	a homogeneous mixture of two or more substances; frequently (but not necessarily) a liquid solution
PWN:solution.n.03	a method for solving a problem
PWN:some.a.01	An unspecified quantity or number of.
PWN:sometimes.r.01	On certain occasions, or in certain circumstances, but not always.
PWN:son.n.01	One's male child.
PWN:song.n.01	A musical piece with lyrics (or words to sing); prose that one can sing.
PWN:soon.r.01	In the near future.
PWN:sorcerer.n.01	A male person who practices magic.
PWN:sore.n.01	A type of injury in which in skin or tisue is torn, cut,  punctured or otherwise hurt.
PWN:sorghum.n.01	A group of small-seeded species of cereal crops, widely grown around the world for food and fodder.
PWN:soul.n.01	In philosophical or religious belief the immaterial part of a human being that is believed to outlive the body.
PWN:sound.n.01	the particular auditory effect produced by a given cause
PWN:sound.v.02	The noise emitted by musical instruments or humans speaking.
PWN:soup.n.01	A cooked, liquid dish (made from meat or vegetables that are mixed with broth in a pot) that is often sold in tins.
PWN:sour.a.02	Having an acid, sharp or tangy taste.
PWN:sour.s.01	smelling of fermentation or staleness
PWN:souse.v.03	Activity of drinking alcoholic beverages that leads to having an altered conciousness.
PWN:south.n.03	One of the four major compass points, specifically 180°, directed toward the South Pole, and conventionally downwards on a map.
PWN:sow.n.01	An adult female pig.
PWN:sow.v.01	To scatter or disperse seeds on a field.
PWN:soy.n.04	An annual plant native to East Asia that is widely cultivated for its fruit.
PWN:space.n.01	the unlimited expanse in which everything is located
PWN:space.n.02	Available space to place things.
PWN:spade.n.02	Tool having a flat and sharp metal tip and a wooden handle used to break, dig and move the earth.
PWN:spark.n.06	A small particle or body of shining or glowing matter, either molten or on fire.
PWN:speak.v.03	To communicate by the use of words.
PWN:spear.n.01	a long, stabbing weapon for thrusting or throwing, consisting of a wooden shaft to which a sharp-pointed head, as of iron or steel, is attached.
PWN:species.n.01	(biology) taxonomic group whose members can interbreed
PWN:specific.a.01	(sometimes followed by `to') applying to or characterized by or distinguishing something particular or special or unique
PWN:spectacles.n.01	A pair of lenses in a frame that are worn in front of the eyes and are used to correct faulty vision or protect the eyes.
PWN:spectacles.n.01	Frames bearing lenses worn in front of the eyes used for vision correction.
PWN:speculate.v.01	to believe especially on uncertain or tentative grounds
PWN:speed.n.01	Degree of fastness or slowness or distance travelled per unit of time
PWN:sphere.n.06	a three-dimensional closed surface such that every point on the surface is equidistant from the center
PWN:spider_web.n.02	A fine net of threads woven by a spider to catch insects.
PWN:spider.n.01	Any predatory silk-producing arachnid of the order Araneae, having four pairs of legs and a rounded unsegmented body consisting of abdomen and cephalothorax.
PWN:spike.n.09	a long, thin sharp-pointed implement
PWN:spill.v.01	Cause liquids to flow over the edge or out of a container.
PWN:spin.v.06	To make (yarn) by drawing out, twisting, and winding fibers.
PWN:spinach.n.01	An important leaf vegetable, grown throughout the temperate regions of the world.
PWN:spinal_column.n.01	The body part that consists of a row of vertebrae, that support the head and torso and that forms a canal for nerves.
PWN:spindle.n.04	A stick used in spinning fiber into thread.
PWN:spiral.n.01	a plane curve traced by a point circling about the center but at increasing distances from the center
PWN:spirit.n.01	the vital principle or animating force within living things
PWN:spirit.n.04	A spiritual entity that is not as powerful as a deity.
PWN:spit.v.01	To forcefully evacuate saliva from the mouth.
PWN:spleen.n.01	A ductless vascular gland, located in the left upper abdomen near the stomach.
PWN:spoil.v.02	Of food, to become bad, sour or rancid; to decay.
PWN:sponge.n.01	a porous mass of interlacing fibers that forms the internal skeleton of various marine animals and usable to absorb water or any porous rubber or cellulose product similarly used
PWN:spoon.n.01	An implement for eating or serving, a small bowl with a long straight handle.
PWN:sport.n.01	an active diversion requiring physical exertion and competition
PWN:spread.v.10	distribute over a surface in a layer
PWN:spring.n.01	Traditionally the first of the four seasons, the season of growth with an ever increasing amount of daytime.
PWN:spring.n.02	a metal elastic device that returns to its shape or position when pushed or pulled or pressed
PWN:spring.n.03	A place where ground water flows naturally from a rock or the soil onto the land surface or into a body of surface water.
PWN:sprinkle.v.02	To cause a liquid to spatter about. [WN:365]
PWN:sprout.n.01	The early growth of a plant.
PWN:square.n.01	(geometry) a plane rectangle with four equal sides and four right angles; a four-sided regular polygon
PWN:square.n.04	A geometrical figure with four sides that meet each other on right angles, or something resembling its shape.
PWN:squash.n.01	any of numerous annual trailing plants of the genus Cucurbita grown for their fleshy edible fruits
PWN:squash.n.02	A squash fruit of the Cucurbita genus, most commonly orange in colour when ripe and traditionally used during Halloween.
PWN:squash.v.01	to compress with violence, out of natural shape or condition or into pieces
PWN:squat.v.01	Have bent knees with the body weight is on the feet.
PWN:squat.v.01	To lower one's body close to the ground by bending one's knees completely.
PWN:squeeze.v.02	To apply pressure to something from two or more sides at once.
PWN:squirrel.n.01	A small or medium-sized rodent of the family Sciuridae.
PWN:stack.n.01	an orderly pile
PWN:stadium.n.01	a large structure for open-air sports or entertainments
PWN:stairs.n.01	A contiguous set of steps connecting two floors.
PWN:stall.n.01	A building or structure usually with stalls that is used to house and feed horses, cattle or other animals.
PWN:stallion.n.01	An uncastrated male horse.
PWN:stand.v.01	To be upright in an erect position, supported by the feet.
PWN:staple.n.04	a U-shaped or angled wire or metal that is driven into a surface to hold or secure something in place
PWN:star.n.03	A luminous celestial body that is made from gases (particularly hydrogen and helium) and forms the shape of a sphere.
PWN:starship.n.01	a spacecraft designed to carry a crew into interstellar space (especially in science fiction)
PWN:starve.v.01	be hungry; go without food
PWN:starve.v.02	die from lack of food
PWN:state.n.01	the territory occupied by one of the constituent administrative districts of a nation, a province, prefecture or state
PWN:state.n.04	A politically organized body of people usually occupying a definite territory.
PWN:state.v.01	express in words
PWN:statue.n.01	A three-dimension work of art, usually of a person or animal, usually created by sculpting, carving, moulding, or casting.
PWN:stay.v.04	To continue to be in the same place or state.
PWN:steal.v.01	To take possession of property belonging to another without the consent of this owner; most typically when not observed, rather than by force.
PWN:steam.n.01	The gas phase of water.
PWN:steel.n.01	Alloys of iron and carbon, widely used in construction and other applications because of their high tensile strengths and low costs.
PWN:steelyard.n.01	Straight balance with arms of unequal length.
PWN:step.v.01	To move the foot in walking; to advance or recede by raising and moving one of the feet to another resting place, or by moving both feet in succession.
PWN:stepdaughter.n.01	The daughter of one's spouse and his or her previous partner.
PWN:stepfather.n.01	The husband of one's biological mother, other than one's biological father.
PWN:stepmother.n.01	The wife of one's biological father, other than one's biological mother.
PWN:stepson.n.01	The son of one's spouse and his or her previous partner.
PWN:stick.n.01	A long, thin piece of wood, mainly left in the shape in which it grew, that does not bend.
PWN:still.r.01	Continuance of motion or state even until the time mentioned.
PWN:sting.v.02	To hurt, usually by introducing poison or a sharp point, or both.
PWN:stingray.n.01	Any of various large, venomous rays, of the orders Rajiformes and Myliobatiformes, having a barbed, whiplike tail.
PWN:stingy.a.01	Excessively unwilling to spend.
PWN:stink.v.01	be extremely bad in quality or in one's performance
PWN:stir.v.01	to disturb the relative position of the particles of (a liquid or similar) by passing an object through it
PWN:stock_exchange.n.01	an exchange where security trading is conducted by professional stockbrokers
PWN:stock.n.01	the capital raised by a corporation through the issue of shares entitling holders to an ownership interest (equity)
PWN:stocking.n.01	A soft garment worn on the foot and lower leg, usually knit or woven, worn under shoes or other footwear.
PWN:stomach.n.01	An organ in the body, involved in digestion of food.
PWN:stone.n.02	A general term for rock that is used in construction, either crushed for use as aggregate or cut into shaped blocks as dimension stone.
PWN:stool.v.04	To excrete faeces from one's body through the anus.
PWN:stop.v.01	To halt one’s movement.
PWN:store.n.02	a supply of something available for future use
PWN:storehouse.n.01	a depository for goods
PWN:storm.n.01	An atmospheric disturbance involving perturbations of the prevailing pressure and wind fields on scales ranging from tornadoes to extratropical cyclones; also the associated weather and the like. (Source: MGH)
PWN:stove.n.01	A chamber within which a fuel-air mixture is burned to provide heat, the heat itself being radiated outward from the chamber; used for space heating, process-fluid heating, and steel blast furnaces.
PWN:straight_pin.n.01	A small device, made (usually) of drawn-out steel wire with one end sharpened and the other flattened or rounded into a head, used for fastening.
PWN:straight.a.02	Not crooked or bent; having a constant direction throughout its length.
PWN:straight.a.08	free from curves or angles
PWN:strange.a.01	Out of the ordinary.
PWN:stranger.n.02	Someone who is not known.
PWN:strap.n.01	A strap is an elongated flap or ribbon, usually of fabric or leather.
PWN:stream.n.01	A generic way to refer to a flowing body of water, for example used to refer to rivers, brooks, streams, creeks etc.
PWN:street.n.01	A paved part of road, usually in a village or a town.
PWN:strength.n.01	Muscular capacity to modify the speed of an external physical object, to deform it or to oppose another force.
PWN:stress.v.01	to stress, single out as important
PWN:stretch.v.04	become longer by being stretched and pulled
PWN:strike.n.01	a group's refusal to work in protest against low pay or bad work conditions
PWN:strike.v.01	To intentionally hit someone with a sharp blow or to impel, usually with a hand or weapon.
PWN:strike.v.01	To intentionally hit something with a sharp blow or to impel, usually with a hand.
PWN:strike.v.01	To intentionally hit with a sharp blow or to impel, usually with a hand or weapon.
PWN:string.n.01	A long, thin and flexible structure made from threads twisted together.
PWN:stripe.n.05	a narrow marking of a different color or texture from the surrounding area
PWN:stroke.n.01	(sports) the act of swinging or striking at a ball with a club or racket or bat or cue or hand
PWN:stroke.n.10	A single movement with a pen in order to write or paint something.
PWN:strong.a.01	Capable of producing great physical force.
PWN:strontium.n.01	Strontium, the chemical element with atomic number 38 and symbol Sr.
PWN:student.n.01	A student under the supervision of a teacher or professor.
PWN:study.v.05	To acquire knowledge or learning (at a course or an institute of learning).
PWN:stump.n.01	A small remaining portion of the trunk of a tree with the roots still in the ground.
PWN:stupid.a.01	Lacking in intelligence.
PWN:stylus.n.01	a sharp pointed device attached to the cartridge of a record player
PWN:stylus.n.02	a pointed tool for writing or drawing or engraving
PWN:submerge.v.02	cover completely or make imperceptible
PWN:submission.n.01	something (manuscripts or architectural plans and models or estimates or works of art of all genres etc.) submitted for the judgment of others (as in a competition)
PWN:subsequently.r.01	happening at a time subsequent to a reference time
PWN:subsequently.r.01	Later or after something else has happened or happens.
PWN:substance.n.01	the real physical matter of which a person or thing consists
PWN:substitute.n.01	a person or thing that takes or can take the place of another
PWN:subtract.v.01	make a subtraction
PWN:succeed.v.01	To attain a desired goal.
PWN:suck.v.01	To draw in a substance by creating a practical vacuum in the mouth, and as a result a difference in pressure.
PWN:sudden.a.01	happening without warning or in a short space of time
PWN:suddenly.r.01	Happening unexpectedly.
PWN:sugar.n.01	A sweet crystalline or powdered substance, white when pure, consisting of sucrose obtained mainly from sugar cane and sugar beets and used in many foods, drinks, and medicines to improve their taste.
PWN:sugarcane.n.01	A tropical grass of the genus Saccharum having stout, fibrous, jointed stalks, the sap of which is a source of sugar.
PWN:suit.n.01	a set of garments (usually including a jacket and trousers or skirt) for outerwear all of the same fabric and color
PWN:suitable.s.01	meant or adapted for an occasion or use: suitable, fitting, appropriate
PWN:sulfur.n.01	Sulfur (Brimstone), the chemical element with atomic number 16 and symbol S.
PWN:sum.n.02	a quantity obtained by the addition of a group of numbers
PWN:sum.n.05	the whole amount
PWN:summer.n.01	Traditionally the second of the four seasons regarded as being from June 21 to September 20 (or just June, July and August) in the Northern Hemisphere and from December 21 to March 20 (or just December, January and February) in the Southern Hemisphere.
PWN:sun.n.01	The particular star at the centre of our solar system, from which the Earth gets light and heat.
PWN:sunday.n.01	The seventh day of the week in Europe and in systems using the ISO 8601 standard, or the first day of the week in the United States of America, the Sabbath for most Christians.
PWN:sunflower.n.01	Annual plant with a large yellow flowering head of the genus Helianthus and the family of the Asteraceae.
PWN:supper.n.01	The last meal of the evening.
PWN:supply.v.01	give something useful or necessary to
PWN:support.n.07	An object that keeps another object in its place.
PWN:support.v.01	give moral or psychological support, aid, or courage to
PWN:surface.n.01	the outer boundary of an artifact or a material layer constituting or resembling such a boundary
PWN:surprise.v.01	cause to be surprised
PWN:surrender.v.01	To give up to the enemy.
PWN:surrogate.n.01	a person or thing that takes the place of another one permanently
PWN:surviving.s.01	Being alive.
PWN:suspect.v.01	To assume something to be true without direct evidence.
PWN:swallow.v.01	The reflex in the human body that makes something pass from the mouth to the pharynx and into the esophagus, with the shutting of the epiglottis.
PWN:swamp.n.01	A permanently waterlogged area in which there is often associated tree growth, e.g. mangroves in hot climates.
PWN:swan.n.01	Bird of the family Anatidae.
PWN:swear.v.03	To declare or affirm solemnly and formally as true.
PWN:sweat.v.01	To secrete sweat.
PWN:sweep.v.06	To clean a surface with a broom.
PWN:sweet_potato.n.02	A dicotyledonous plant of the family Convolvulaceae, having an edible tuberous root.
PWN:sweet.a.01	Having the taste characteristic of sugar or honey.
PWN:sweet.n.03	Food item that is rich in sugar.
PWN:swell.v.01	To grow larger in volume.
PWN:swelling.n.01	Abnormal protuberance or localized enlargement.
PWN:swim.v.01	To move through the water, without touching the bottom.
PWN:swing_around.v.01	Change the direction in which one is moving or facing.
PWN:swing.v.01	To move freely to and fro.
PWN:swing.v.05	To set something in swinging motion.
PWN:sword.n.01	A long-bladed weapon that has a handle (and sometimes a hilt) and is designed to stab, cut or slash.
PWN:syllable.n.01	a unit of spoken language larger than a phoneme
PWN:symbol.n.01	an arbitrary sign (written or printed) that has acquired a conventional significance
PWN:syringe.n.01	a medical instrument used to inject or withdraw fluids
PWN:syrupy.s.02	having a relatively high resistance to flow
PWN:system.n.01	A set of connected elements that form a whole by virtue of their interrelatedness and function.
PWN:table.n.02	A piece of furniture that generally consists of a hard, flat, horizontal surface, which is elevated and stabilised by 3 or more legs (usually 4).
PWN:tail.n.01	The appendage of an animal that is attached to its posterior and near the anus.
PWN:tailor.n.01	Someone who professionally manufactures clothing.
PWN:take_off.v.06	To take off a piece of clothing or similar.
PWN:take.v.04	To grasp with the hands.
PWN:talk.v.01	To converse with one or more persons.
PWN:talk.v.02	express in speech
PWN:tall.a.01	Having a vertical extent greater than the average.
PWN:tall.a.01	Being in a position comparatively far above to the ground or be of great height (of objects and persons).
PWN:tamias.n.01	A squirrel-like rodent of the genus Tamias, native mainly to North America.
PWN:tan.v.01	To treat skins and hides with tannic acid so as to convert them into leather.
PWN:tank.n.01	an enclosed armored military vehicle; has a cannon and moves on caterpillar treads
PWN:tantalum.n.01	Tantalum, the chemical element with atomic number 73 and symbol Ta.
PWN:taoism.n.01	A Chinese mystical philosophy that teaches conformity to the tao by unassertive action and simplicity.
PWN:taoist.n.01	A follower of Taoism.
PWN:tape.n.01	a long thin piece of cloth or paper as used for binding or fastening
PWN:tapered.s.01	becoming gradually narrower toward an end
PWN:tapir.n.01	Any one the species of large odd-toed ungulates of the family Tapiridae with a long prehensile upper lip.
PWN:taste.n.01	The sensory impression of food or other substances on the tongue.
PWN:taste.v.01	have flavor; taste of something
PWN:taste.v.02	To try the flavor of something.
PWN:tasty.a.01	Pleasing to the sense of taste.
PWN:tattoo.n.02	A marking made by inserting ink into the layers of skin to change the pigment permanently for decorative or other reasons.
PWN:taut.s.01	Being not loose.
PWN:taut.s.01	pulled or drawn tight
PWN:tax.n.01	An amount of money demanded by a government for its support or for specific facilities or services, most frequently levied upon income, property or sales.
PWN:tea.n.01	tea (beverage made from leaves of plant sp. Camellia sinensis)
PWN:teach.v.01	To pass on knowledge and skills.
PWN:teacher.n.01	A person who passes on knowledge, especially one employed in a school.
PWN:team.n.01	a cooperative unit (especially in sports)
PWN:tear.n.01	A drop of liquid produced from the eyes by crying or irritation.
PWN:tear.v.01	To pull at something in such a way that it ends up divided.
PWN:technetium.n.01	Technetium, the chemical element with atomic number 43 and symbol Tc.
PWN:technology.n.01	the practical application of science to commerce or industry
PWN:telephone.n.01	An electronic device used for calling people.
PWN:telescope.n.01	A telescope is a device used to observe distant objects by their emission, absorption, or reflection of electromagnetic radiation
PWN:television_program.n.01	a program broadcast by television
PWN:television_receiver.n.01	A device for receiving television signals and displaying them in visual form.
PWN:television.n.01	broadcasting visual images of stationary or moving objects; ;  - Ernie Kovacs
PWN:tell.v.03	To talk about a story giving its details; to give a detailed account of.
PWN:tellurium.n.01	Tellurium, the chemical element with atomic number 52 and symbol Te.
PWN:temperature.n.01	the degree of hotness or coldness of a body or environment (corresponding to its molecular activity)
PWN:temple.n.01	A house of worship and spiritual activities.
PWN:temple.n.02	The region of the skull on either side of the forehead.
PWN:tempt.v.01	allure or dispose or incline or entice to
PWN:ten.s.01	The natural number ten (10).
PWN:tendency.n.04	a general direction in which something tends to move
PWN:tendon.n.01	Tissue that connects muscle to bone.
PWN:tennis.n.01	a game played with rackets by two or four players who hit a ball back and forth over a net that divides the court
PWN:tent.n.01	A portable lodging (usually made from waterproof plastic, animal hide or canvas streched by poles) that is used for sheltering people and objects from the weather when camping or at festivals.
PWN:terbium.n.01	Terbium, the chemical element with atomic number 65 and symbol Tb.
PWN:termite.n.01	A soft-bodied insect of the order Isoptera; individuals feed on cellulose and live in colonies with a caste system comprising three types of functional individuals: sterile workers and soldiers, and the reproductives.
PWN:test.n.05	the act of testing something
PWN:test.v.01	To put something to trial, to test whether something works as expected.
PWN:testis.n.01	The male sex gland that produces sperm and male hormones, found in some types of animals and humans.
PWN:tether.v.01	To attach an animal to something to prevent that it leaves.
PWN:thallium.n.01	Thallium, the chemical element with atomic number 81 and symbol Tl.
PWN:thank.v.01	express gratitude or show appreciation to
PWN:thatch.n.02	Natural roofing material such as straw, reeds, leaves, etc.
PWN:theater.n.01	a building where theatrical performances or motion-picture shows can be presented
PWN:then.r.0	in that case or as a consequence
PWN:then.r.01	Soon after that.
PWN:then.r.03	At a certain time in the past.
PWN:theory.n.01	a well-substantiated explanation of some aspect of the natural world; an organized system of accepted knowledge that applies in a variety of circumstances to explain a specific set of phenomena
PWN:there.r.01	In a not completely determined place which is not here.
PWN:there.r.03	Directed towards this place there.
PWN:thermometer.n.01	Instrument used for measuring temperature, mostly by means of a contracting or expanding substanced contained within the instrument.
PWN:thick.a.01	Relatively large distance from one surface to the opposite in its smallest solid dimension.
PWN:thick.a.03	To be thick, of liquids.
PWN:thickness.n.01	the dimension through an object as opposed to its length or width
PWN:thief.n.01	a criminal who takes property belonging to someone else with the intention of keeping it or selling it
PWN:thief.n.01	Someone who takes property belonging to someone else with the intention of keeping it or selling it.
PWN:thigh.n.01	The part of the leg between the pelvis and the knee.
PWN:thin.a.01	Being narrow (of flat or long objects).
PWN:thin.a.01	Being narrow or carrying a small amount of fat.
PWN:thin.a.02	Carrying little fat (of people).
PWN:thing.n.09	That which is considered to exist as a separate quality or concept.
PWN:thing.n.12	That which is considered to exist as a separate entity, quality or concept.
PWN:think.v.02	To have as opinion, belief, or idea, to think.
PWN:think.v.03	To actively and consciously use one's mental powers, usually to form ideas, to think.
PWN:think.v.03	Use ones mental power to form ideas or having used ones mental power to form ideas of conviction or belief.
PWN:think.v.11	have or formulate in the mind
PWN:thinking.n.01	the process of using your mind to consider something carefully
PWN:third.s.01	The ordinal form of the cardinal number three.
PWN:thirty.s.01	The natural number thirty (30).
PWN:thorax.n.02	The portion of the body from the base of the neck to the top of the abdomen; the thorax.
PWN:thorium.n.01	Thorium, the chemical element with atomic number 90 and symbol Th.
PWN:thousand.s.01	The natural number one thousand (1000).
PWN:thrash.v.06	Separating the grain from the straw or husks by beating.
PWN:thread.n.01	A long, thin and flexible form of material, generally with a round cross-section, used in sewing, weaving or in the construction of string.
PWN:threaten.v.02	To make a threat of injury or punishment against someone.
PWN:three.s.01	The natural number three (3).
PWN:threshing_floor.n.01	Dry flat area where the grain is separated from the straw or husks by beating.
PWN:thrice.r.01	Three times.
PWN:throat.n.01	The front part of the neck.
PWN:through.r.01	from beginning to end
PWN:through.r.01	From one side of an opening to the other.
PWN:throw.v.01	propel through the air
PWN:thrust.v.01	To push forcefully.
PWN:thulium.n.01	Thulium, the chemical element with atomic number 69 and symbol Tm.
PWN:thumb.n.01	The shortest and thickest of the fingers that can be placed against the others in order to create a firm grip.
PWN:thump.v.03	To strike hard, usually repeatedly.
PWN:thunder.n.02	Sound produced by fast air expansion induced by a lightning.
PWN:thunder.v.03	The process producing the noise after a lightning.
PWN:thunderbolt.n.01	A sudden, short, temporary burst of light.
PWN:thursday.n.01	The fourth day of the week in Europe and in systems using the ISO 8601 norm; the fifth day of the week in the United States of America.
PWN:thus.r.02	In this way, such, etc.
PWN:tick.n.02	A small arachnid which lives on and sucks the blood of other animals including man.
PWN:ticket.n.01	a commercial document showing that the holder is entitled to something (as to ride on public transportation or to enter a public entertainment)
PWN:tide.n.01	The periodic rise and fall of the water resulting from gravitational interaction between the sun, moon and earth.
PWN:tidy.v.01	To arrange something in a tidy manner.
PWN:tie.n.03	equality of score between competitors in a contest
PWN:tie.v.01	To establish connection between two or more things.
PWN:tiger.n.02	A large carnivorous animal (Panthera tigris) of the cat family indigenous to Asia.
PWN:time_interval.n.01	Quantity of time between events X and Y.
PWN:time_period.n.01	A length of time.
PWN:time.n.01	an instance or single occasion for some event
PWN:time.n.05	The dimension of the physical universe which, at a given place, orders the sequence of events. The continuum of past-present-future.
PWN:timely.s.01	before a time limit expires
PWN:tin_plate.n.01	A metallic element with symbol Sn or a thin sheet of steel coated with tin to prevent rusting.
PWN:tin_plate.n.01	A thin sheet of steel coated with tin to prevent rusting; used to make cans etc.
PWN:tin.n.01	Tin, the chemical element with atomic number 50 and symbol Sn.
PWN:tinkle.v.01	Emit a sound suggestive of a tinkle.
PWN:tip.n.01	The pointed end of something.
PWN:tire.v.02	To become tired through overuse or great strain or stress.
PWN:tired.a.01	depleted of strength or energy
PWN:tired.a.01	In need of some rest or sleep, due to lack of sleep or as a result of hard work or physical activity.
PWN:titanium.n.01	Titanium, the chemical element with atomic number 22 and symbol Ti.
PWN:tobacco.n.01	Leaves of certain varieties of the tobacco plant, cultivated and harvested to make cigarettes, cigars, snuff, for smoking in pipes or for chewing.
PWN:today.r.02	On the current day or date.
PWN:toe.n.01	One of the extremities of the foot.
PWN:together.r.01	In proximity to each other (of two things).
PWN:toilet.n.01	A room equipped with a toilet for urinating and defecating.
PWN:token.n.02	Feature element which permits to refer to anything or any person.
PWN:tomato.n.01	The savoury fruit of the Solanum lycopersicum, red when ripe.
PWN:tomorrow.r.01	The day after the present day.
PWN:tone.n.07	Traditionally in Western music, a musical tone is a steady periodic sound.
PWN:tongs.n.01	A tool that consists of two movable bars joined at one end, used to pick up an object.
PWN:tongue.n.01	The flexible muscular organ in the mouth that is used to move food around, for tasting and that is moved into various positions to modify the flow of air from the lungs in order to produce different sounds.
PWN:tool.n.01	an implement used in the practice of a vocation
PWN:tooth.n.01	A hard, calcareous structure present in the mouth of many vertebrate animals (including humans), generally used for eating.
PWN:top.n.01	the upper part of anything
PWN:torch.n.01	Any portable device that produces light.
PWN:torment.v.01	torment emotionally or mentally
PWN:tornado.n.01	A violently rotating column of air that is in contact with both the surface of the earth and a cumulonimbus cloud or, in rare cases, the base of a cumulus cloud.
PWN:tortilla.n.01	A thin, flat bread made from maize flour, eaten hot or cold, typically with a savoury filling.
PWN:torus.n.01	a ring-shaped surface generated by rotating a circle around an axis that does not intersect the circle
PWN:toucan.n.01	A bird with a large colorful beak, living in the tropics and belonging to the family Ramphastidae.
PWN:touch.v.01	To put one's hand on something/someone so that one can feel them. To be in physical contact with.
PWN:tournament.n.01	a sporting competition in which contestants play a series of games to decide the winner
PWN:towel.n.01	Piece of absorbent fabric or paper used for drying or wiping.
PWN:tower.n.01	Structure, usually taller than it is wide, often used as a lookout.
PWN:town.n.01	An area with residential districts, shops and amenities, and its own local government.
PWN:train.n.01	A self-propelled, connected group of vehicles moving on rails.
PWN:translate.v.01	To communicate of the meaning of a source-language text by means of an equivalent target-language text.
PWN:transport.v.02	To lift and bring to somewhere else; to transport by lifting.
PWN:trap.n.01	A device for catching and holding animals.
PWN:trap.v.02	To catch in a trap, to immobilize.
PWN:travel.v.01	To get from one place to another by any means.
PWN:travel.v.02	To make a journey, especially over a long distance.
PWN:traveler.n.01	a person who changes location
PWN:tray.n.01	an open receptacle for holding or displaying or serving articles or food
PWN:tree.n.01	Any large woody perennial plant with a distinct trunk giving rise to branches or leaves at some distance from the ground.
PWN:trial.n.04	the determination of a person's innocence or guilt by due process of law
PWN:triangle.n.01	A triangle is a polygon with three corners and three sides, one of the basic shapes in geometry
PWN:tribe.n.01	Group of people linked by the same linguistic and cultural traditions that usually live far from urban areas and practice their own legal rules and have their own political system.
PWN:trick.n.01	a cunning or deceitful action or device
PWN:trouble.n.01	a source of difficulty
PWN:trouser.n.01	An item of clothing worn on the lower part of the body and covering both legs separately.
PWN:truck.n.01	an automotive vehicle suitable for hauling and cargo-carrying)
PWN:true.a.01	Concurring with a given set of facts.
PWN:trunk.n.01	The main structural member of a tree.
PWN:trust.v.01	have confidence or faith in
PWN:truth.n.01	That which conforms to reality.
PWN:try.v.01	To attempt to do something.
PWN:tube.n.01	Cylindrical structure or device.
PWN:tuesday.n.01	The second day of the week in Europe and in systems using the ISO 8601 norm; the third day of the week in the United States of America.
PWN:tug.v.01	A great force, applied in order that an object will move towards the origin of the force that was applied to it.
PWN:tumble.v.01	To fall down accidentally.
PWN:tungsten.n.01	Tungsten (Wolfram), the chemical element with atomic number 74 and symbol W.
PWN:turkey.n.01	A large bird from the family of Phasanidae.
PWN:turn.v.01	To change the direction of movement or the direction in which something is facing.
PWN:turn.v.04	To position by moving an object around its axis.
PWN:turtle.n.02	A reptile of the order Testudines (the crown group of the superorder Chelonia), characterised by a special bony or cartilaginous shell developed from their ribs that acts as a shield.
PWN:twelve.s.01	The natural number twelve (12).
PWN:twenty.s.01	The natural number twenty (20).
PWN:twice.r.01	Two times.
PWN:twin.n.01	A case of multiple birth in which the mother gives birth to two offspring from the same pregnancy.
PWN:twist.v.05	To wind several things around each other (e.g. in order to form a rope or thread).
PWN:two.s.01	The natural number two (2).
PWN:udder.n.01	An organ in female quadruped mammals which consists of mammary glands and has several teats.
PWN:ugly.a.01	Not good looking.
PWN:umbilical_cord.n.01	A conduit between the developing embryo or fetus and the placenta.
PWN:umbrella.n.01	a lightweight handheld collapsible canopy to protect from rain or sunshine
PWN:uncle.n.01	The brother of someone’s father or mother.
PWN:uncover.v.01	To uncover; to show and display that which was hidden.
PWN:underpants.n.01	an undergarment that covers the body from the waist no further than to the thighs; usually worn next to the skin
PWN:understand.v.01	To be aware of the meaning of.
PWN:undertaking.n.01	any piece of work that is undertaken or attempted
PWN:undress.v.01	To take off all of one's clothes, or to take off a piece of clothing or similar.
PWN:unfold.v.04	To spread out or open from a closed or folded state.
PWN:uniform.n.01	Special garments worn by members of a group.
PWN:unite.v.01	act in concert or unite in a common purpose or belief
PWN:universe.n.01	everything that exists anywhere
PWN:university.n.02	establishment where a seat of higher learning is housed, including administrative and living quarters as well as facilities for research and teaching
PWN:untie.v.01	To loosen, as something interlaced or knotted; to disengage the parts of. To unbind, to free from restraint.
PWN:ununbium.n.01	Copernicium, the chemical element with atomic number 112 and symbol Cn.
PWN:ununhexium.n.01	Livermorium, the chemical element with atomic number 116 and symbol Lv.
PWN:ununpentium.n.01	Moscovium, the chemical element with atomic number 115 and symbol Mc.
PWN:ununquadium.n.01	Flerovium, the chemical element with atomic number 114 and symbol Fl.
PWN:ununtrium.n.01	Nihonium, the chemical element with atomic number 113 and symbol Nh.
PWN:up.r.01	Moving to a higher position.
PWN:uranium.n.01	Uranium, the chemical element with atomic number 92 and symbol U.
PWN:urge.v.01	force or impel in an indicated direction
PWN:urine.n.01	Liquid excrement consisting of water, salts and urea, which is made in the kidneys, stored in the bladder, then released through the urethra.
PWN:use.v.01	To employ an object, often to reach a certain goal; to put into service.
