id	Definition
PWN:basketball.n.01	a game played on a court by two opposing teams of 5 players; points are scored by throwing the ball through an elevated horizontal hoop
PWN:bat.n.01	A small, nocturnal, flying mammal of the order Chiroptera, which navigates by means of echolocation. It looks like a mouse with membranous wings extending from the forelimbs to the hind limbs or tail.
PWN:bat.n.05	a club used for hitting a ball in various games
PWN:batch.n.02	(often followed by `of') a large number or amount or extent
PWN:batch.n.03	a collection of things or persons to be handled together
PWN:bathe.v.01	To clean oneself by immersion in water.
PWN:bathroom.n.01	A room containing a shower or a bathtub, and that may contains a toilet or not.
PWN:bathtub.n.01	A large container for holding water in which a person may take a bath.
PWN:battery.n.02	A cell or several cells connected together, each cell containing the essentials for producing voltaic electricity.
PWN:battle-ax.n.01	An ancient military weapon.
PWN:battle.n.01	A hostile encounter, such as a battle or combat.
PWN:battle.n.01	An instance of combat in warfare between two or more parties wherein each group will seek to defeat the others.
PWN:bay.n.01	an indentation of a shoreline larger than a cove but smaller than a gulf
PWN:bay.n.01	An open, curving indentation made by the sea or a lake into a coastline.
PWN:be_born.v.01	To start living.
PWN:be.v.01	have the quality of being; (copula, used with an adjective or a predicate noun)
PWN:be.v.03	To have existence.
PWN:be.v.11	To be alive; to have a life.
PWN:beach.n.01	A sandy strip of land close to the sea or ocean.
PWN:bead.n.01	A hard, rounded object produced within the soft tissue (specifically the mantle) of a living shelled mollusk.
PWN:beak.n.02	External anatomical structure of birds which is used for taking food and for eating.
PWN:beam.n.02	A structural member loaded on its narrow face, and typically used in a horizontal or sloping position to span between bearing points.
PWN:beam.n.04	a column of light (as from a beacon)
PWN:bean_curd.n.01	Coagulated soy milk that is bland in taste and formed into solid blocks; a popular ingredient in Asian and vegetarian cuisine.
PWN:bean.n.01	Any of various leguminous plants grown for their edible seeds and pods.
PWN:bear.n.01	A large beast of prey of the family Ursidae, related to the dog and raccoon, having shaggy hair, a very small tail, and flat feet.
PWN:beard.n.01	Facial hair of humans on the chin, cheeks and jaw.
PWN:beat.v.03	hit repeatedly
PWN:beat.v.03	To strike or pound repeatedly, usually in some sort of rhythm.
