id	Concepticon id	Definition
Animalia:caiman.N	2438	A reptile belonging to the subfamily Caimaniae in the family Alligatoridae in the order Crocodylia.
Animalia:calf.N	1989	Young cattle.
Animalia:camel.N	1871	A beast of burden, much used in desert areas, of the genus Camelus.
Animalia:capon.N	2567	A castrated rooster.
Animalia:caprine (goat or sheep).N	2684	Member of the caprinae family, mostly pointing to sheep and goat.
Animalia:capybara.N	314	The largest living rodent native to South America, living partly on land and partly in water.
Animalia:carabao.N	2515	A swamp-type domestic water buffalo found in the Philippines.
Animalia:carp (fish).N	2685	Oily freshwater fish from the family Cyprinidae.
Animalia:cassowary.N	466	A big flightless bird native to tropical forests of New Guinea, nearby islands and northeastern Australia.
Animalia:castrated boar.N	2565	A castrated male pig.
Animalia:cat.N	1208	A common four-legged animal (Felis silvestris) that is often kept as a household pet.
Animalia:caterpillar.N	2247	The larvae of members of the order Lepidoptera (the insect order comprising butterflies and moths).
Animalia:catfish.N	3777	Any of ray-finned fish with long stiff barbels, resembling a cat's whiskers. There are diverse types of catfish, ranging in size and appearance and inhabiting mostly freshwater environments.
Animalia:cattle.N	1153	Domesticated bovine animals, including cows, steers and bulls, raised and bred on a ranch or farm.
Animalia:cebus monkey.N	439	A Central and South American monkey, Cebus capucinus, having a prehensile tail and hair on the head resembling a cowl.
Animalia:centipede.N	1974	Any of various flattened, wormlike arthropods of the class Chilopoda, whose bodies are divided into many segments, each with one pair of legs.
Animalia:chameleon.N	1555	(Chamaeleonidae) A squamate that belong to one of the best-known lizard families.
Animalia:cheetah.N	3146	Wild Animal of the cat family with characteristic dark spots.
Animalia:chick.N	2512	A young bird that has not yet reached adulthood.
Animalia:chicken chick.N	2513	A young chicken that has not yet reached adulthood.
Animalia:chicken nest.N	2764	The nest of a chicken.
Animalia:chicken.N	1318	A type of domesticated bird from the order of Galliformes which is often raised as a type of poultry (Gallus gallus domesticus).
Animalia:chiggoe (jigger flea).N	438	A flea, Tunga penetrans, of tropical America and Africa, the impregnated female of which embeds itself in the skin, especially of the feet, of humans and animals and becomes greatly distended with eggs.
Animalia:chimpanzee.N	3734	A great ape which is native to Africa and is suggested to be the closest extant relative to humans.
Animalia:cicada.N	2353	Insects in the order Hemiptera, suborder Auchenorrhyncha.
Animalia:civet.N	3157	A carnivorous mammal of the Viverridae family, found across South East Asia.
