id	Concepticon id	Definition
Plantae:oat.N	60	A species of grass (Avena sativa) grown for its seed.
Plantae:okra.N	1737	A flowering plant in the mallow (Malvaceae) family valued for its edible pods; okro, ochro; ladies' fingers.
Plantae:onion.N	2366	A vegetable and is the most widely cultivated species of the genus Allium.
Plantae:orange (fruit).N	2627	A fruit of the citrus species citrus x sinensis.
Plantae:osmanthus fragrans.N	2747	A small tree species native to Asia from the Himalayas through southern China.
Plantae:palm tree.N	1181	Any of various evergreen trees from the family Palmae or Arecaceae, which are mainly found in the tropics.
Plantae:pandanus.N	469	Palm-like, dioecious trees and shrubs native to the Old World tropics and subtropics.
Plantae:peach blossom.N	2746	The flower of the Peach Tree.
Plantae:peach palm.N	3919	A species of palm, also know as Bactris gasipaes, native to the tropical forests of Central and South America.
Plantae:peach tree.N	2358	The tree that bears peaches as fruits.
Plantae:peach.N	2043	The soft, sweet, juicy fruit of the peach tree, usually with a red or orange skin, yellow flesh and a large stone inside.
Plantae:peanut.N	2364	A species in the family Fabaceae (commonly known as the bean, pea or legume family).
Plantae:pear.N	922	A fruit produced by the pear tree.
Plantae:persimmon.N	2044	Edible fruit of a number of species of trees of the genus Diospyros in the ebony wood family.
Plantae:pine.N	1740	Evergreen coniferous tree of the genus Pinus.
Plantae:pineapple.N	2440	A tropical plant with edible multiple fruit consisting of coalesced berries, also called pineapples, and the most economically significant plant in the Bromeliaceae family.
Plantae:plant stem.N	2628	One of two main structural axes of a vascular plant, the other being the root.
Plantae:plant.N	653	Any living organism that synthesizes its food from inorganic substances, possesses cellulose cell walls, responds slowly and often permanently to a stimulus, lacks specialized sense organs and nervous system, and has no powers of locomotion.
Plantae:plantago.N	3221	A plant of the genus Plantago, with a rosette of sessile leaves about 10 cm long with a narrow part instead of a petiole, and with a spike inflorescence with the flower spacing varying widely among the species.
Plantae:plantain.N	399	A kind of banana that is normally cooked and not eaten raw.
Plantae:plum blossom.N	2744	The flower of the Chinese Plum.
Plantae:poplar.N	821	Any of various deciduous trees of the genus Populus.
Plantae:prickly ash.N	3253	A flowering plant in the family Rutaceae.
Plantae:pumpkin.N	864	A squash fruit of the Cucurbita genus, most commonly orange in colour when ripe and traditionally used during Halloween.
Plantae:radish.N	2365	An edible root vegetable of the Brassicaceae family that was domesticated in Europe in pre-Roman times.
Plantae:ramie.N	3063	A perennial shrub native to Eastern Asia, with broad leaves and clusters of greenish flowers.
Plantae:raspberry.N	3803	The edible, berry-like fruit of a multitude of plant species in the genus Rubus of the family Rosaceae, most typically red, small and sweet.
Plantae:reed.N	659	Any of various types of tall stiff grass-like plants growing together in groups near water.
Plantae:ribes.N	1988	A member of the genus Ribes in the gooseberry family Grossulariaceae, native to parts of western Europe (France, Belgium, Netherlands, Germany, and northern Italy). It is a deciduous shrub normally growing to 1-1.5 m tall, occasionally 2 m, with five-lobed leaves arranged spirally on the stems.
Plantae:rice plant.N	2026	An erect grass, Oryza sativa, that grows in East Asia on wet ground and has drooping flower spikes and yellow oblong edible grains that become white when polished.
Plantae:root.N	670	The absorbing and anchoring organ of a vascular plant; it bears neither leaves nor flowers and is usually subterranean.
Plantae:rose.N	3882	A showy flower of any of a genus (Rosa of the family Rosaceae, the rose family).
Plantae:rye.N	23	Biennial plant from the genus Secale of the family Poaceae, used as a cereal or for forage.
Plantae:sap.N	345	The juice of plants of any kind, especially the ascending and descending juices or circulating fluid essential to nutrition.
Plantae:seed.N	714	A mature fertilized plant ovule, consisting of an embryo and its food store surrounded by a protective seed coat (testa).
Plantae:seedling.N	3050	A young plant produced from a seed.
Plantae:sesame.N	2797	A flowering plant in the genus Sesamum.
Plantae:shea nut tree.N	454	Tree of the Sapotaceae family,indigenous to Africa, commonly known as shea tree. The shea fruits are oil-rich seed from which shea butter is extracted.
Plantae:shrub.N	751	A woody perennial plant, smaller than a tree, with several major branches arising from near the base of the main stem.
Plantae:sorghum.N	347	A cereal, Sorghum vulgare or Sorghum bicolor, the grains of which are used to make flour and as cattle feed.
Plantae:soya.N	2027	An annual plant native to East Asia that is widely cultivated for its fruit.
Plantae:sprout (shoot).N	3358	The early growth of a plant.
Plantae:sprout.V	2076	The process by which a plant grows from a seed.
Plantae:spruce.N	545	Any of various large coniferous evergreen trees from the genus Picea, found in northern temperate and boreal regions.
Plantae:strawberry.N	3138	Soft, red fruit with yellow seeds on its surface.
Plantae:sucker.N	546	An undesired stem growing out of the roots or lower trunk of a shrub or tree, especially from the rootstock of a grafted plant or tree.
Plantae:sugar cane.N	146	A tropical grass of the genus Saccharum having stout, fibrous, jointed stalks, the sap of which is a source of sugar.
Plantae:sugar palm.N	3029	Common name for several palm species used to produce sugar, especially Arenga pinnata.
Plantae:sunflower.N	1956	Annual plant with a large yellow flowering head of the genus Helianthus and the family of the Asteraceae.
Plantae:sweet olive flower.N	2748	The flower of the Osmanthus Fragrans.
Plantae:sweet olive.N	2360	A species native to Asia from the Himalayas through southern China (Guizhou, Sichuan, Yunnan) to Taiwan and southern Japan and southeast Asia as far south as Cambodia and Thailand.
Plantae:sweet potato.N	159	A dicotyledonous plant of the family Convolvulaceae, having an edible tuberous root.
Plantae:tamarind.N	35	A tropical tree, native to Africa, including Sudan and parts of the Madagascar dry deciduous forests.
Plantae:taro.N	351	Colocasia esculenta, raised as a food primarily for its corm, which distantly resembles potato.
Plantae:thorn.N	124	A sharp and hard structure that grows on a plant.
Plantae:tobacco.N	974	Leaves of certain varieties of the tobacco plant, cultivated and harvested to make cigarettes, cigars, snuff, for smoking in pipes or for chewing.
Plantae:tree or wood.N	2141	Either any  perennial plant with an elongated stem, or trunk, supporting branches and leaves, or the porous and vibrous structural tissue of which the stems of these plants consist.
Plantae:tree stump.N	241	A small remaining portion of the trunk of a tree with the roots still in the ground.
Plantae:tree trunk.N	344	The main structural member of a tree.
Plantae:tree.N	906	Any large woody perennial plant with a distinct trunk giving rise to branches or leaves at some distance from the ground.
Plantae:treetop.N	3036	The uppermost part of a tree; crown.
Plantae:trunk of tree.N	776	The part of the body from the neck to the groin excluding the head and limbs.
Plantae:tucuma palm.N	2439	A palm native to Amazon Rainforest vegetation, typical of the Pará state in Brazil.
Plantae:tule.N	521	A giant species of sedge in the plant family Cyperaceae, native to freshwater marshes. Dyed and woven, tules are used to make baskets, bowls, mats, hats, clothing, duck decoys, and even boats by Native American groups.
Plantae:turmeric.N	2842	A rhizomatous herbaceous perennial plant (Curcuma longa) of the ginger family.
Plantae:turnip.N	3062	A cultivated Eurasian plant, Brassica rapa, of the mustard family, whose whitish root and leaves are edible.
Plantae:twig.N	3222	A branch that doesn't arise from the trunk but from another branch.
Plantae:vine.N	343	A climbing plant which grows up or over things. This also includes types which do not produce grapes.
Plantae:walnut.N	2042	Large deciduous tree (Juglans regia) in the Walnut Family (Juglandaceae) which produces an edible fruit with a hard shell and oil-rich seed.
Plantae:wax gourd.N	3444	Benincasa hispida, a species of Cucurbitaceae family, which owes its name to the wax coating of its shell. Wax gourd is cultivated for its fruit and used in both savoury and sweet dishes due to its mild flavour.
Plantae:wheat.N	1077	Plant belonging to genus Triticum and to family Poaceae (also known as Gramineae).
Plantae:wild rice.N	3390	A plant of the genus Zizania with edible grains and stem.
Plantae:willow.N	818	Any of various deciduous trees or shrubs in the genus Salix.
Plantae:yam.N	410	It is the common name for a versatile vegetable which is mainly grown in West Africa, Asia and Latin America.
Possession:acquire (something).V	3892	To come into possession of something, usually with an effort.
Possession:affair.N	2214	That which is considered to exist as a separate quality or concept.
Possession:afford.V	3893	To have enough money to get something.
Possession:barter.V	370	To exchange goods without involving money.
Possession:beggar.N	1934	A person who begs.
Possession:bill.N	1081	Sum owed in a restaurant, or the relative bill.
Possession:borrow.V	1823	To receive (something) from somebody temporarily, expecting to return it.
Possession:bribe (amount).N	1163	Something (usually money) given in exchange for influence or as an inducement to dishonesty.
Possession:buy.V	1869	To obtain in exchange for money or goods.
Possession:cheap.A	1887	Low in price.
Possession:coin.N	1867	A piece of currency, usually metallic and in the shape of a disc, but sometimes polygonal, or with a hole in the middle.
Possession:contain.V	697	To contain or hold; have within.
Possession:cost.V	242	To be priced at.
Possession:cowrie shell.N	3663	The shiny shell of marine gastropod mollusks from the family Cypraeidae, which have been used as currency or jewelry in some parts of the world.
Possession:damage or injure.V	3195	To put a thing in bad condition by causing damage to it or to cause physical harm to a living creature.
Possession:damage.V	1116	To put a thing in bad condition by causing damage to it.
Possession:debt.N	1914	Something owed to someone else.
Possession:destroy.V	681	To damage beyond use or repair.
Possession:earn.V	733	To gain (success, payment) through applied effort or work.
Possession:expensive.A	1426	Having a high price, cost.
Possession:find.V	719	To encounter something by accident or after searching for it.
Possession:free.A	2316	Able to act at will; not hampered; not under compulsion or restraint.
Possession:get.V	694	To get or obtain an item; to come into the possession of something.
Possession:give back.V	85	To transfer a good to the person or people it came from, or to their legal successors.
Possession:give.V	1447	To transfer the possession or holding (of an object) to another person.
Possession:grasp.V	2021	Get the meaning of something.
Possession:gratis (of charge).?	130	Without cost.
Possession:have.V	773	To be in possession (of an object).
Possession:her (genitive of she).?	2474	Belonging to the female third person.
Possession:hire.V	856	To employ a person or people in exchange of some kind of remuneration, usually a payment.
Possession:his (genitive of he).?	2473	Belonging to the male third person.
Possession:his or her.?	2092	Belonging to the third person that is addressed.
Possession:hold.V	1448	To grasp or grip (particularly with the hand) so that the object does not end up at the surface below.
Possession:inherit.V	3664	To receive money, property or other possessions from somebody when they die.
Possession:interest.N	2062	A sum paid or charged for the use of money or for borrowing money over a given time period.
Possession:keep.V	1477	To retain possession of something.
Possession:lend.V	582	To put an item or resource at the disposal of another, with the requirement to have the same or its equivalent returned eventually.
Possession:let go or set free.V	1095	To give freedom; to stop holding; to release from confinement or restraint.
Possession:look for.V	1468	To try to find something.
Possession:lose.V	1660	To be beaten or to fail to win in a fight, game, or similar, or to place something in a place where one cannot find it again or in a wrong place; to lose something.
Possession:market.N	633	Place of commercial activity in which articles are bought and sold.
Possession:matter.N	2150	That which is considered to exist as a separate physical entity.
Possession:merchandise.N	3406	Products offered to retail customers for money.
Possession:merchant.N	1082	A businessperson engaged in trade.
Possession:money.N	1559	An unspecified amount in a currency.
Possession:my.?	2090	Belonging to me.
Possession:owe.V	369	To be under an obligation to give something back to someone or to perform some action for someone; to have debt.
Possession:own.V	684	To have rightful possession of property, goods or capital.
Possession:owner.N	1036	One who owns.
Possession:pay.V	718	To give money in exchange for goods or services.
Possession:poor person.N	3662	A person with little or no possessions or money.
Possession:poor.A	1674	With little or no possessions or money.
Possession:possessions.N	3860	The totality of things that someone owns; their property or belongings.
Possession:preserve.V	1997	To protect; to keep; to maintain the condition of.
Possession:price.N	657	The amount of money paid per unit for a good or service.
Possession:profligate.N	115	Someone who spends money prodigiously and who is extravagant and recklessly wasteful.
Possession:rare.A	209	Not easily found.
Possession:rent (something).V	3831	To have temporary possession of premises (apartments) or objects.
Possession:rescue.V	2008	To free from harm or evil.
Possession:rich person.N	3661	A wealthy person; a person with abundant possessions.
Possession:rich.A	712	Possessing in abundance a particular trait.
Possession:seize.V	855	To grasp and hold firmly.
Possession:sell.V	1571	To provide goods or services in exchange for money.
Possession:share.V	884	To give part of what one has to somebody else to use or consume.
Possession:shop.N	746	A place, especially a small building, for the retail sale of goods and services.
Possession:stingy.A	1774	Excessively unwilling to spend.
Possession:store up.V	3655	To put something somewhere and keep it there for future use.
Possession:store.N	752	An establishment, either physical or virtual, that sells goods or services to the public.
Possession:take.V	1749	To grasp with the hands.
Possession:tax.N	873	An amount of money demanded by a government for its support or for specific facilities or services, most frequently levied upon income, property or sales.
Possession:their.?	2400	Belonging to the third person that is addressed (of many people).
Possession:thing.N	738	That which is considered to exist as a separate entity, quality or concept.
Possession:throw away.V	3696	To get rid of something one no longer needs.
Possession:trade or barter.V	2135	To exchange goods with or without exchanging money.
Possession:trade.V	898	The act or the business of buying and selling for money. Mercantile or commercial business in general or the buying and selling, or exchanging, of commodities, either by wholesale or retail within a country or between countries. (Source: WESTS)
Possession:wages.N	1122	A fixed amount of money paid to a worker, usually measured on a monthly or annual basis.
Possession:warehouse.N	3399	A spacious building that serves as a storage for produced goods before they are delivered to shops or customers.
Possession:weigh.V	1098	To determine the weight of an object.
Possession:your (plural).?	2274	Belonging to the second person that is addressed by the first person, with the second person being many persons and not just one.
Possession:your (singular).?	732	Belonging to the second person that is addressed by the first person.
Possession:your.?	2091	Belonging to the second person that is addressed by the first person.
Quantity:1.NUM	1493	The natural number one (1).
Quantity:10.NUM	1515	The natural number ten (10).
Quantity:10^10.NUM	3600	The natural number ten billion (10000000000).
Quantity:10^11.NUM	3601	The natural number one hundred billion (100000000000).
Quantity:10^12.NUM	3602	The natural number one trillion (1000000000000).
Quantity:10^4.NUM	2078	The natural number ten thousand (10000).
Quantity:10^5.NUM	3532	The natural number one hundred thousand (100000).
Quantity:10^6.NUM	3533	The natural number one million (1000000).
Quantity:10^7.NUM	3597	The natural number ten million (10000000).
Quantity:10^8.NUM	3598	The natural number one hundred million (100000000).
Quantity:10^9.NUM	3599	The natural number one billion (1000000000).
Quantity:100.NUM	1634	The natural number one hundred (100).
Quantity:1000.NUM	1843	The natural number one thousand (1000).
Quantity:1001.NUM	3773	The natural number one thousand and one (1001).
Quantity:1002.NUM	3774	The natural number one thousand and two (1002).
Quantity:101.NUM	3502	The natural number one hundred and one (101).
Quantity:102.NUM	3770	The natural number one hundred and two (102).
Quantity:1027.NUM	3790	The natural number one thousand and twenty-seven (1027).
Quantity:103.NUM	3783	The natural number one hundred and three (103).
Quantity:104.NUM	3506	The natural number one hundred and forty (140).
Quantity:105.NUM	3508	The natural number one hundred and fifty (150).
Quantity:1060.NUM	3775	The natural number one thousand and sixty (1060).
Quantity:108.NUM	3784	The natural number one hundred and eight (108).
Quantity:11.NUM	1706	The natural number eleven (11).
Quantity:110.NUM	3503	The natural number one hundred and ten (110).
Quantity:111.NUM	3771	The natural number one hundred and eleven (111).
Quantity:12.NUM	1707	The natural number twelve (12).
Quantity:120.NUM	3504	The natural number one hundred and twenty (120).
Quantity:1200.NUM	3791	The natural number one thousand two hundred (1200).
Quantity:1221.NUM	3522	The natural number one thousand two hundred and twenty-one (1221).
Quantity:123.NUM	3164	The natural number one hundred and twenty-three (123).
Quantity:1296.NUM	3523	The natural number one thousand two hundred and ninety-six (1296).
Quantity:13.NUM	1708	The natural number thirteen (13).
Quantity:133.NUM	3505	The natural number one hundred and thirty-three (133).
Quantity:14.NUM	2451	The natural number fourteen (14).
Quantity:144.NUM	3507	The natural number one hundred and forty-four (144).
Quantity:15.NUM	1709	The natural number fifteen (15).
Quantity:16.NUM	2454	The natural number sixteen (16).
Quantity:160.NUM	3509	The natural number one hundred and sixty (160).
Quantity:17.NUM	2453	The natural number seventeen (17).
Quantity:18.NUM	1713	The natural number eighteen (18).
Quantity:180.NUM	3510	The natural number one hundred and eighty (180).
Quantity:19.NUM	1714	The natural number nineteen (19).
Quantity:2.NUM	1710	The natural number twenty (20).
Quantity:2.NUM	1498	The natural number two (2).
Quantity:200.NUM	2676	The natural number two hundred (200).
Quantity:2000.NUM	3524	The natural number two thousand (2000).
Quantity:2000000.NUM	3794	The natural number two million (2000000).
Quantity:2002.NUM	3776	The natural number two thousand and two (2002).
Quantity:201.NUM	3511	The natural number two hundred and one (201).
Quantity:202.NUM	3785	The natural number two hundred and two (202).
Quantity:21.NUM	1734	The natural number twenty-one (21).
Quantity:210.NUM	3772	The natural number two hundred and ten (210).
Quantity:216.NUM	3512	The natural number two hundred and sixteen (216).
Quantity:22.NUM	3166	The natural number twenty-two (22).
Quantity:23.NUM	3165	The natural number twenty-three (23).
Quantity:231.NUM	3786	The natural number two hundred and thirty-one (231).
Quantity:24.NUM	1736	The natural number twenty-four (24).
Quantity:240.NUM	3787	The natural number two hundred and forty (240).
Quantity:25.NUM	1738	The natural number twenty-five (25).
Quantity:250.NUM	3788	The natural number two hundred and fifty (250).
Quantity:26.NUM	3476	The natural number twenty-six (26).
Quantity:27.NUM	3477	The natural number twenty-seven (27).
Quantity:28.NUM	3478	The natural number twenty-eight (28).
Quantity:29.NUM	3479	The natural number twenty-nine (29).
Quantity:3.NUM	1715	The natural number thirty (30).
Quantity:3.NUM	492	The natural number three (3).
Quantity:300.NUM	3513	The natural number three hundred (300).
Quantity:3000.NUM	3525	The natural number three thousand (3000).
Quantity:304.NUM	3789	The natural number three hundred and four (304).
Quantity:31.NUM	3480	The natural number thirty-one (31).
Quantity:32.NUM	3481	The natural number thirty-two (32).
Quantity:33.NUM	3482	The natural number thirty-three (33).
Quantity:34.NUM	3483	The natural number thirty-four (34).
Quantity:35.NUM	3484	The natural number thirty-five (35).
Quantity:36.NUM	3485	The natural number thirty-six (36).
Quantity:37.NUM	3486	The natural number thirty-seven (37).
Quantity:38.NUM	3487	The natural number thirty-eight (38).
Quantity:39.NUM	3488	The natural number thirty-nine (39).
Quantity:399.NUM	3514	The natural number three hundred and ninety-nine (399).
Quantity:4.NUM	1716	The natural number forty (40).
Quantity:4.NUM	1500	The natural number four (4).
Quantity:400.NUM	3515	The natural number four hundred (400).
Quantity:4000.NUM	3526	The natural number four thousand (4000).
Quantity:41.NUM	3556	The natural number forty-one (41).
Quantity:42.NUM	3557	The natural number forty-two (42).
Quantity:43.NUM	3489	The natural number forty-three (43).
Quantity:44.NUM	3490	The natural number forty-four (44).
Quantity:45.NUM	3491	The natural number forty-five (45).
Quantity:46.NUM	3558	The natural number forty-six (46).
Quantity:46656.NUM	3531	The natural number forty six thousand six hundred and fifty six (46656).
Quantity:47.NUM	3559	The natural number forty-seven (47).
Quantity:48.NUM	3492	The natural number forty-eight (48).
Quantity:49.NUM	3560	The natural number forty-nine (49).
Quantity:5.NUM	493	The natural number five (5).
Quantity:50.NUM	1717	The natural number fifty (50).
Quantity:500.NUM	3516	The natural number five hundred (500).
Quantity:5000.NUM	3527	The natural number five thousand (5000).
Quantity:51.NUM	3561	The natural number fifty-one (51).
Quantity:52.NUM	3562	The natural number fifty-two (52).
Quantity:53.NUM	3493	The natural number fifty-three (53).
Quantity:54.NUM	3563	The natural number fifty-four (54).
Quantity:55.NUM	3494	The natural number fifty-five (55).
Quantity:56.NUM	3564	The natural number fifty-six (56).
Quantity:57.NUM	3565	The natural number fifty-seven (57).
Quantity:58.NUM	3566	The natural number fifty-eight (58).
Quantity:59.NUM	3567	The natural number fifty-nine (59).
Quantity:6.NUM	1703	The natural number six (6).
Quantity:60.NUM	1718	The natural number sixty (60).
Quantity:600.NUM	3517	The natural number six hundred (600).
Quantity:6000.NUM	3792	The natural number six thousand (6000).
Quantity:61.NUM	3568	The natural number sixty-one (61).
Quantity:62.NUM	3569	The natural number sixty-two (62).
Quantity:63.NUM	3495	The natural number sixty-three (63).
Quantity:64.NUM	3570	The natural number sixty-four (64).
Quantity:65.NUM	3571	The natural number sixty-five (65).
Quantity:66.NUM	3572	The natural number sixty-six (66).
Quantity:67.NUM	3573	The natural number sixty-seven (67).
Quantity:68.NUM	3574	The natural number sixty-eight (68).
Quantity:69.NUM	3575	The natural number sixty-nine (69).
Quantity:7.NUM	1704	The natural number seven (7).
Quantity:70.NUM	1721	The natural number seventy (70).
Quantity:700.NUM	3518	The natural number seven hundred (700).
Quantity:7000.NUM	3528	The natural number seven thousand (7000).
Quantity:71.NUM	3576	The natural number seventy-one (71).
Quantity:72.NUM	3496	The natural number seventy-two (72).
Quantity:73.NUM	3497	The natural number seventy-three (73).
Quantity:74.NUM	3577	The natural number seventy-four (74).
Quantity:75.NUM	3578	The natural number seventy-five (75).
Quantity:76.NUM	3579	The natural number seventy-six (76).
Quantity:77.NUM	3580	The natural number seventy-seven (77).
Quantity:7776.NUM	3529	The natural number seven thousand seven hundred and seventy-six (7776).
Quantity:78.NUM	3581	The natural number seventy-eight (78).
Quantity:79.NUM	3582	The natural number seventy-nine (79).
Quantity:8.NUM	1705	The natural number eight (8).
Quantity:80.NUM	1722	The natural number eighty (80).
Quantity:800.NUM	3519	The natural number eight hundred (800).
Quantity:8000.NUM	3793	The natural number eight thousand (8000).
Quantity:81.NUM	3583	The natural number eighty-one (81).
Quantity:82.NUM	3584	The natural number eighty-two (82).
Quantity:83.NUM	3498	The natural number eighty-three (83).
Quantity:84.NUM	3585	The natural number eighty-four (84).
Quantity:85.NUM	3586	The natural number eighty-five (85).
Quantity:86.NUM	3587	The natural number eighty-six (86).
Quantity:87.NUM	3588	The natural number eighty-seven (87).
Quantity:88.NUM	3589	The natural number eighty-eight (88).
Quantity:89.NUM	3590	The natural number eighty-nine (89).
Quantity:9.NUM	1483	The natural number nine (9).
Quantity:9.NUM	1724	The natural number ninety (90).
Quantity:900.NUM	3520	The natural number nine hundred (900).
Quantity:9000.NUM	3530	The natural number nine thousand (9000).
Quantity:91.NUM	3499	The natural number ninety-one (91).
Quantity:92.NUM	3591	The natural number ninety-two (92).
Quantity:93.NUM	3592	The natural number ninety-three (93).
Quantity:94.NUM	3593	The natural number ninety-four (94).
Quantity:95.NUM	3594	The natural number ninety-five (95).
Quantity:96.NUM	3500	The natural number ninety-six (96).
Quantity:97.NUM	3595	The natural number ninety-seven (97).
Quantity:98.NUM	3596	The natural number ninety-eight (98).
Quantity:99.NUM	3501	The natural number ninety-nine (99).
Quantity:999.NUM	3521	The natural number nine hundred and ninety-nine (999).
Quantity:a little.NUM	2924	More than one, but not as much as usual or as expected. (for mass nouns)
Quantity:affair (classifier).CLF	2737	Classifier for things or circumstances.
Quantity:all or many.?	2650	Either a totality or a large number of people or objects.
Quantity:all.?	98	The totality of.
Quantity:alone.A	1964	Without any others being included or involved.
Quantity:amount.N	2987	Quantity is a property that can exist as a magnitude or multitude.
Quantity:animal (classifier).CLF	3056	Classifier for animals.
Quantity:axe (classifier).CLF	2083	Classifier for axe-like objects.
Quantity:be many.?	428	Existence of an indefinite large number of someone or something.
Quantity:beat (classifier).CLF	2740	Classifier for beats, meals, things that can be measured in periods of time.
Quantity:bit (classifier).CLF	2741	Classifier for classifier for small units of time.
Quantity:bottle (classifier).CLF	2727	Classifier for things that can be carried in bottles.
Quantity:bowl (classifier).CLF	2080	Classifier for bowl-like objects.
Quantity:bridge (classifier).CLF	2733	Classifier for bridges and similar buildings.
Quantity:bud (classifier).CLF	2723	Classifier for flowers.
Quantity:car (classifier).CLF	2735	Classifier for vehicles.
Quantity:chain (classifier).CLF	2724	Classifier for objects that can be put or are arranged on a chain.
Quantity:chicken (classifier).CLF	2081	Classifier for bird-like animals.
Quantity:clothing (classifier).CLF	2088	Classifier for things that one wears.
Quantity:count (quantity).N	2945	The total number of individual things in a given unit or sample obtained by counting all or a subsample of them.
Quantity:count.V	1420	To determine the amount of something or to enumerate the digits of one's numeral system.
Quantity:cow (classifier).CLF	2168	Classifier for cows and animals as large as cows.
Quantity:crowd.N	2023	A large group of people.
Quantity:deal (classifier).CLF	2738	Classifier for bargains or business deals.
Quantity:door (classifier).CLF	2734	Classifier for doors and gates.
Quantity:drop (classifier).CLF	2087	Classifier for small units of liquid, like water.
Quantity:egg (classifier).CLF	3417	Classifier for eggs.
Quantity:empty.A	1624	Without content.
Quantity:enough.?	1881	All that is required, needed, or appropriate.
Quantity:few.?	1242	More than one, but not as many as usual or as expected.
Quantity:fill.V	2006	To make full.
Quantity:first.?	728	Having no predecessor. The ordinal number corresponding to one.
Quantity:fish (classifier).CLF	2720	Classifier for fishes.
Quantity:foot (measure).N	2782	A measure unit.
Quantity:fruit (classifier).CLF	3246	The measure word used for typical fruits.
Quantity:full.A	1429	Containing the most or maximum amount possible in the given available space.
Quantity:grain (classifier).CLF	2086	Classifier for tiny objects, like rice.
Quantity:half (half of).A	3836	Describing one of the two equal parts into which something may be divided.
Quantity:half.N	816	One of the two equal parts of a whole.
Quantity:hat (classifier).CLF	2730	Classifier for hat or hat-like objects.
Quantity:house (classifier).CLF	2732	Classifier for house or building.
Quantity:knife (classifier).CLF	2082	Classifier for knife-like objects.
Quantity:last (final).?	1529	After all the others.
Quantity:level.N	3469	The amount or degree of something; the height of the surface of something liquid with respect to its bottom.
Quantity:many.?	1198	An indefinite large number of.
Quantity:more.?	1992	[Used in forming the comparative form of many adjectives and almost all comparable adverbs.]
Quantity:mouthful (classifier).CLF	2728	Classifier for things that can be eaten or drunk.
Quantity:multitude.N	538	A large number of something.
Quantity:needle (classifier).CLF	2731	Classifier for needle or similar objects.
Quantity:nobody.?	3887	No person; not one member out of a group of people.
Quantity:one third.N	3842	One of three equal parts of a whole.
Quantity:only.?	1580	Nothing more than.
Quantity:pair (classifier).CLF	2089	Classifier for objects that occur in pairs.
Quantity:pair.N	1888	Two similar or identical things taken together.
Quantity:part.N	779	A seperate unit of a larger whole.
Quantity:person (classifier).CLF	516	Classifier for human beings.
Quantity:piece.N	594	One object of a set, undivided part of something broken.
Quantity:pig (classifier).CLF	2169	Classifier for pigs and other livestock as large as pigs.
Quantity:pillow (classifier).CLF	2166	Classifier for pillows and other objects related to the bed.
Quantity:portion (classifier).CLF	2725	Classifier for a certain amount of something.
Quantity:river (classifier).CLF	3418	Classifier for rivers.
Quantity:rope (classifier).CLF	2084	Classifier for rope-like objects.
Quantity:scales (measure instrument).N	2783	Instrument to measure the weight of objects.
Quantity:scanty.A	542	Somewhat less than is needed in amplitude or extent.
Quantity:second.?	1384	That which comes after the first.
Quantity:sentence (classifier).CLF	3421	Classifier for sentences.
Quantity:sheet (classifier).CLF	2729	Classifier for sheets or blankets.
Quantity:ship (classifier).CLF	2736	Classifier for ships.
Quantity:some.?	1241	An unspecified quantity or number of.
Quantity:someone.?	2422	An unspecified person.
Quantity:song (classifier).CLF	3422	Classifier for songs.
Quantity:sparse.A	207	Occupied or populated by a small number of people.
Quantity:stalk (classifier).CLF	2726	Classifier for cigarettes and similar objects.
Quantity:stick (classifier).CLF	2085	Classifier for stick-like objects.
Quantity:stone (classifier).CLF	3419	Classifier for stones.
Quantity:storey (classifier).CLF	3420	Classifier for storeys (of a building).
Quantity:suffice.?	3475	To be enough for a particular purpose.
Quantity:third.?	1859	The ordinal form of the cardinal number three.
Quantity:three times.?	417	Three times.
Quantity:tree (classifier).CLF	2721	Classifier for trees.
Quantity:tuft (classifier).CLF	2722	Classifier for grass.
Quantity:twice.?	1546	Two times.
Quantity:two miles.?	2179	The distance of two miles.
Quantity:two ounces.?	2180	The weight of two ounces.
Quantity:vehicle (classifier).CLF	2167	Classifier for vehicles.
Quantity:walk (classifier).CLF	2739	Classifier for walks (strolls).
Quantity:zero.NUM	1294	The integer zero (0).
Society:ability.N	2527	Capacity to do specific things.
Society:allow or permit.V	3237	To give permission to an action or to not try to stop someone from doing it.
Society:allow.V	3238	To not try to stop someone from doing something.
Society:assemble (get together).V	3638	To come together in a group.
Society:authority.N	1637	The power to enforce rules or give orders.
Society:autonym (of people).N	3433	The identity term that a group of people uses to refer to themselves as the members of an ethnic group or nation.
Society:avoid.V	3639	To keep away from somebody or something.
Society:baker.N	2568	A person who produces bread.
Society:baldhead.N	3415	Person with a bald head.
Society:be defeated.V	3535	To be beaten or to fail to win in a fight, game, or similar.
Society:birthday.N	2407	The day when one was born.
Society:border.N	2546	The non-natural boundary of a region.
Society:boundary.N	1010	The dividing line or location between two areas.
Society:bribe (somebody).V	1164	To give, or offer a bribe.
Society:bride price.N	3024	Money or other form of wealth paid by a groom to the family of his bride.
Society:butcher.N	2569	A person who produces meat.
Society:care for.V	253	To keep under careful scrutiny.
Society:celebrate new year.V	3430	To take part in festivities on the occasion of the beginning of a new calendar year.
Society:charity.N	3953	A benevolent action in favor of the needy, or an activity or gift for the benefit of the public.
Society:chief.N	2394	The head of a company or group.
Society:chieftain.N	301	The leader/ruler of a tribe/clan.
Society:citizen.N	1032	A native or naturalized member of a state or nation who owes allegiance, bears responsibilities and obtains rights, including protection, from the government.
